neighborhood,id,borough,type,long,lat
Allerton,nyu_2451_34572.299,Bronx,Point,-73.859319,40.865788
Annadale,nyu_2451_34572.216,Staten Island,Point,-74.178549,40.538114
Arden Heights,nyu_2451_34572.242,Staten Island,Point,-74.185887,40.549286
Arlington,nyu_2451_34572.228,Staten Island,Point,-74.165104,40.635325
Arrochar,nyu_2451_34572.229,Staten Island,Point,-74.067124,40.596313
Arverne,nyu_2451_34572.178,Queens,Point,-73.791992,40.589144
Astoria,nyu_2451_34572.130,Queens,Point,-73.915654,40.768509
Astoria Heights,nyu_2451_34572.267,Queens,Point,-73.89468,40.770317
Auburndale,nyu_2451_34572.153,Queens,Point,-73.791762,40.76173
Bath Beach,nyu_2451_34572.80,Brooklyn,Point,-73.998752,40.599519
Battery Park City,nyu_2451_34572.128,Manhattan,Point,-74.016869,40.711932
Bay Ridge,nyu_2451_34572.47,Brooklyn,Point,-74.030621,40.625801
Bay Terrace,nyu_2451_34572.176,Queens,Point,-73.776802,40.782843
Bay Terrace,nyu_2451_34572.236,Staten Island,Point,-74.139166,40.553988
Baychester,nyu_2451_34572.11,Bronx,Point,-73.835798,40.866858
Bayside,nyu_2451_34572.152,Queens,Point,-73.774274,40.766041
Bayswater,nyu_2451_34572.304,Queens,Point,-73.765968,40.611322
Bedford Park,nyu_2451_34572.14,Bronx,Point,-73.885512,40.870185
Bedford Stuyvesant,nyu_2451_34572.64,Brooklyn,Point,-73.941785,40.687232
Beechhurst,nyu_2451_34572.175,Queens,Point,-73.804365,40.792781
Bellaire,nyu_2451_34572.195,Queens,Point,-73.738892,40.733014
Belle Harbor,nyu_2451_34572.191,Queens,Point,-73.854018,40.576156
Bellerose,nyu_2451_34572.157,Queens,Point,-73.720128,40.728573
Belmont,nyu_2451_34572.35,Bronx,Point,-73.888452,40.857277
Bensonhurst,nyu_2451_34572.48,Brooklyn,Point,-73.99518,40.611009
Bergen Beach,nyu_2451_34572.92,Brooklyn,Point,-73.898556,40.61515
Blissville,nyu_2451_34572.279,Queens,Point,-73.932442,40.737251
Bloomfield,nyu_2451_34572.246,Staten Island,Point,-74.187256,40.605779
Boerum Hill,nyu_2451_34572.88,Brooklyn,Point,-73.983748,40.685683
Borough Park,nyu_2451_34572.81,Brooklyn,Point,-73.990498,40.633131
Breezy Point,nyu_2451_34572.173,Queens,Point,-73.925512,40.557401
Briarwood,nyu_2451_34572.160,Queens,Point,-73.811748,40.710935
Brighton Beach,nyu_2451_34572.52,Brooklyn,Point,-73.965094,40.576825
Broad Channel,nyu_2451_34572.172,Queens,Point,-73.820055,40.603027
Broadway Junction,nyu_2451_34572.283,Brooklyn,Point,-73.903317,40.677861
Bronxdale,nyu_2451_34572.298,Bronx,Point,-73.861726,40.852723
Brooklyn Heights,nyu_2451_34572.65,Brooklyn,Point,-73.993782,40.695864
Brookville,nyu_2451_34572.194,Queens,Point,-73.751753,40.660003
Brownsville,nyu_2451_34572.61,Brooklyn,Point,-73.910235,40.66395
Bulls Head,nyu_2451_34572.247,Staten Island,Point,-74.159409,40.609592
Bushwick,nyu_2451_34572.63,Brooklyn,Point,-73.925258,40.698116
Butler Manor,nyu_2451_34572.239,Staten Island,Point,-74.229504,40.506082
Cambria Heights,nyu_2451_34572.169,Queens,Point,-73.735269,40.692775
Canarsie,nyu_2451_34572.75,Brooklyn,Point,-73.902093,40.635564
Carnegie Hill,nyu_2451_34572.248,Manhattan,Point,-73.953256,40.782683
Carroll Gardens,nyu_2451_34572.67,Brooklyn,Point,-73.994654,40.68054
Castle Hill,nyu_2451_34572.41,Bronx,Point,-73.848027,40.819014
Castleton Corners,nyu_2451_34572.209,Staten Island,Point,-74.119181,40.613336
Central Harlem,nyu_2451_34572.106,Manhattan,Point,-73.943211,40.815976
Charleston,nyu_2451_34572.240,Staten Island,Point,-74.232158,40.530531
Chelsea,nyu_2451_34572.117,Manhattan,Point,-74.003116,40.744035
Chelsea,nyu_2451_34572.245,Staten Island,Point,-74.18956,40.594726
Chinatown,nyu_2451_34572.101,Manhattan,Point,-73.994279,40.715618
City Island,nyu_2451_34572.13,Bronx,Point,-73.786488,40.847247
City Line,nyu_2451_34572.91,Brooklyn,Point,-73.867976,40.67857
Civic Center,nyu_2451_34572.250,Manhattan,Point,-74.005415,40.715229
Claremont Village,nyu_2451_34572.268,Bronx,Point,-73.901199,40.831428
Clason Point,nyu_2451_34572.28,Bronx,Point,-73.854144,40.806551
Clifton,nyu_2451_34572.254,Staten Island,Point,-74.072642,40.619178
Clinton,nyu_2451_34572.114,Manhattan,Point,-73.996119,40.759101
Clinton Hill,nyu_2451_34572.85,Brooklyn,Point,-73.967843,40.693229
Cobble Hill,nyu_2451_34572.66,Brooklyn,Point,-73.998561,40.68792
College Point,nyu_2451_34572.150,Queens,Point,-73.843045,40.784903
Concord,nyu_2451_34572.255,Staten Island,Point,-74.084024,40.604473
Concourse,nyu_2451_34572.44,Bronx,Point,-73.915589,40.834284
Concourse Village,nyu_2451_34572.269,Bronx,Point,-73.915847,40.82478
Coney Island,nyu_2451_34572.79,Brooklyn,Point,-73.988683,40.574293
Co-op City,nyu_2451_34572.2,Bronx,Point,-73.829939,40.874294
Corona,nyu_2451_34572.135,Queens,Point,-73.856825,40.742382
Country Club,nyu_2451_34572.30,Bronx,Point,-73.824099,40.844246
Crown Heights,nyu_2451_34572.56,Brooklyn,Point,-73.943291,40.670829
Cypress Hills,nyu_2451_34572.72,Brooklyn,Point,-73.876616,40.682391
Ditmas Park,nyu_2451_34572.222,Brooklyn,Point,-73.961013,40.643675
Dongan Hills,nyu_2451_34572.232,Staten Island,Point,-74.096399,40.588673
Douglaston,nyu_2451_34572.155,Queens,Point,-73.742498,40.766846
Downtown,nyu_2451_34572.87,Brooklyn,Point,-73.983463,40.690844
Dumbo,nyu_2451_34572.284,Brooklyn,Point,-73.988753,40.703176
Dyker Heights,nyu_2451_34572.82,Brooklyn,Point,-74.019314,40.619219
East Elmhurst,nyu_2451_34572.142,Queens,Point,-73.867041,40.764073
East Flatbush,nyu_2451_34572.57,Brooklyn,Point,-73.936103,40.641718
East Harlem,nyu_2451_34572.107,Manhattan,Point,-73.944182,40.792249
East New York,nyu_2451_34572.73,Brooklyn,Point,-73.880699,40.669926
East Tremont,nyu_2451_34572.18,Bronx,Point,-73.887356,40.842696
East Village,nyu_2451_34572.119,Manhattan,Point,-73.982226,40.727847
East Williamsburg,nyu_2451_34572.96,Brooklyn,Point,-73.938858,40.708492
Eastchester,nyu_2451_34572.3,Bronx,Point,-73.827806,40.887556
Edenwald,nyu_2451_34572.46,Bronx,Point,-73.848083,40.884561
Edgemere,nyu_2451_34572.177,Queens,Point,-73.776133,40.595642
Edgewater Park,nyu_2451_34572.40,Bronx,Point,-73.813885,40.821986
Egbertville,nyu_2451_34572.288,Staten Island,Point,-74.127272,40.579119
Elm Park,nyu_2451_34572.259,Staten Island,Point,-74.141817,40.630147
Elmhurst,nyu_2451_34572.133,Queens,Point,-73.881656,40.744049
Eltingville,nyu_2451_34572.215,Staten Island,Point,-74.164331,40.542231
Emerson Hill,nyu_2451_34572.256,Staten Island,Point,-74.097762,40.606794
Erasmus,nyu_2451_34572.301,Brooklyn,Point,-73.948177,40.646926
Far Rockaway,nyu_2451_34572.171,Queens,Point,-73.75498,40.603134
Fieldston,nyu_2451_34572.4,Bronx,Point,-73.905643,40.895437
Financial District,nyu_2451_34572.129,Manhattan,Point,-74.010665,40.707107
Flatbush,nyu_2451_34572.55,Brooklyn,Point,-73.958401,40.636326
Flatiron,nyu_2451_34572.277,Manhattan,Point,-73.990947,40.739673
Flatlands,nyu_2451_34572.76,Brooklyn,Point,-73.929113,40.630446
Floral Park,nyu_2451_34572.182,Queens,Point,-73.708847,40.741378
Flushing,nyu_2451_34572.139,Queens,Point,-73.831773,40.764454
Fordham,nyu_2451_34572.17,Bronx,Point,-73.896427,40.860997
Forest Hills,nyu_2451_34572.136,Queens,Point,-73.844475,40.725264
Forest Hills Gardens,nyu_2451_34572.197,Queens,Point,-73.841022,40.714611
Fort Greene,nyu_2451_34572.70,Brooklyn,Point,-73.972906,40.688527
Fort Hamilton,nyu_2451_34572.100,Brooklyn,Point,-74.031979,40.614768
Fox Hills,nyu_2451_34572.306,Staten Island,Point,-74.08174,40.617311
Fresh Meadows,nyu_2451_34572.159,Queens,Point,-73.782713,40.734394
Fulton Ferry,nyu_2451_34572.280,Brooklyn,Point,-73.995508,40.703281
Georgetown,nyu_2451_34572.95,Brooklyn,Point,-73.916075,40.623845
Gerritsen Beach,nyu_2451_34572.83,Brooklyn,Point,-73.930102,40.590848
Glen Oaks,nyu_2451_34572.156,Queens,Point,-73.715481,40.749441
Glendale,nyu_2451_34572.145,Queens,Point,-73.870742,40.702762
Gowanus,nyu_2451_34572.69,Brooklyn,Point,-73.994441,40.673931
Gramercy,nyu_2451_34572.127,Manhattan,Point,-73.981376,40.73721
Graniteville,nyu_2451_34572.227,Staten Island,Point,-74.153152,40.620172
Grant City,nyu_2451_34572.234,Staten Island,Point,-74.105856,40.576216
Grasmere,nyu_2451_34572.230,Staten Island,Point,-74.076674,40.598268
Gravesend,nyu_2451_34572.51,Brooklyn,Point,-73.973471,40.59526
Great Kills,nyu_2451_34572.214,Staten Island,Point,-74.149324,40.54948
Greenpoint,nyu_2451_34572.50,Brooklyn,Point,-73.954241,40.730201
Greenridge,nyu_2451_34572.243,Staten Island,Point,-74.170794,40.555295
Greenwich Village,nyu_2451_34572.118,Manhattan,Point,-73.999914,40.726933
Grymes Hill,nyu_2451_34572.203,Staten Island,Point,-74.087248,40.624185
Hamilton Heights,nyu_2451_34572.104,Manhattan,Point,-73.949688,40.823604
Hammels,nyu_2451_34572.303,Queens,Point,-73.80553,40.587338
Heartland Village,nyu_2451_34572.244,Staten Island,Point,-74.159022,40.589139
High  Bridge,nyu_2451_34572.20,Bronx,Point,-73.926102,40.836623
Highland Park,nyu_2451_34572.296,Brooklyn,Point,-73.890346,40.681999
Hillcrest,nyu_2451_34572.186,Queens,Point,-73.797603,40.723825
Hollis,nyu_2451_34572.164,Queens,Point,-73.75925,40.711243
Holliswood,nyu_2451_34572.183,Queens,Point,-73.767142,40.720957
Homecrest,nyu_2451_34572.290,Brooklyn,Point,-73.959185,40.598525
Howard Beach,nyu_2451_34572.134,Queens,Point,-73.838138,40.654225
Howland Hook,nyu_2451_34572.258,Staten Island,Point,-74.186223,40.638433
Hudson Yards,nyu_2451_34572.302,Manhattan,Point,-74.000111,40.756658
Huguenot,nyu_2451_34572.237,Staten Island,Point,-74.191741,40.531912
Hunters Point,nyu_2451_34572.273,Queens,Point,-73.953868,40.743414
Hunts Point,nyu_2451_34572.25,Bronx,Point,-73.883315,40.80973
Inwood,nyu_2451_34572.103,Manhattan,Point,-73.92121,40.867684
Jackson Heights,nyu_2451_34572.132,Queens,Point,-73.882821,40.751981
Jamaica Center,nyu_2451_34572.161,Queens,Point,-73.796902,40.704657
Jamaica Estates,nyu_2451_34572.184,Queens,Point,-73.787227,40.716805
Jamaica Hills,nyu_2451_34572.264,Queens,Point,-73.796465,40.71146
Kensington,nyu_2451_34572.58,Brooklyn,Point,-73.980421,40.642382
Kew Gardens,nyu_2451_34572.137,Queens,Point,-73.829819,40.705179
Kew Gardens Hills,nyu_2451_34572.158,Queens,Point,-73.820878,40.722578
Kingsbridge,nyu_2451_34572.6,Bronx,Point,-73.902818,40.881687
Kingsbridge Heights,nyu_2451_34572.300,Bronx,Point,-73.901523,40.870392
Laurelton,nyu_2451_34572.189,Queens,Point,-73.740256,40.667884
Lefrak City,nyu_2451_34572.190,Queens,Point,-73.862525,40.736075
Lenox Hill,nyu_2451_34572.110,Manhattan,Point,-73.95886,40.768113
Lighthouse Hill,nyu_2451_34572.293,Staten Island,Point,-74.137927,40.576506
Lincoln Square,nyu_2451_34572.113,Manhattan,Point,-73.985338,40.773529
Lindenwood,nyu_2451_34572.188,Queens,Point,-73.849638,40.663918
Little Italy,nyu_2451_34572.122,Manhattan,Point,-73.997305,40.719324
Little Neck,nyu_2451_34572.154,Queens,Point,-73.738898,40.770826
Long Island City,nyu_2451_34572.140,Queens,Point,-73.939202,40.750217
Longwood,nyu_2451_34572.24,Bronx,Point,-73.895788,40.815099
Lower East Side,nyu_2451_34572.120,Manhattan,Point,-73.98089,40.717807
Madison,nyu_2451_34572.297,Brooklyn,Point,-73.948415,40.609378
Malba,nyu_2451_34572.295,Queens,Point,-73.826678,40.790602
Manhattan Beach,nyu_2451_34572.78,Brooklyn,Point,-73.943537,40.577914
Manhattan Terrace,nyu_2451_34572.54,Brooklyn,Point,-73.957438,40.614433
Manhattan Valley,nyu_2451_34572.125,Manhattan,Point,-73.964286,40.797307
Manhattanville,nyu_2451_34572.105,Manhattan,Point,-73.957385,40.816934
Manor Heights,nyu_2451_34572.285,Staten Island,Point,-74.120594,40.60181
Marble Hill,nyu_2451_34572.7,Manhattan,Point,-73.91066,40.876551
Marine Park,nyu_2451_34572.84,Brooklyn,Point,-73.931344,40.609748
Mariner's Harbor,nyu_2451_34572.207,Staten Island,Point,-74.150085,40.632546
Maspeth,nyu_2451_34572.143,Queens,Point,-73.896217,40.725427
Melrose,nyu_2451_34572.21,Bronx,Point,-73.909422,40.819754
Middle Village,nyu_2451_34572.291,Queens,Point,-73.881143,40.716415
Midland Beach,nyu_2451_34572.233,Staten Island,Point,-74.093483,40.573527
Midtown,nyu_2451_34572.115,Manhattan,Point,-73.981669,40.754691
Midtown South,nyu_2451_34572.251,Manhattan,Point,-73.988713,40.74851
Midwood,nyu_2451_34572.93,Brooklyn,Point,-73.957595,40.625596
Mill Basin,nyu_2451_34572.263,Brooklyn,Point,-73.915154,40.615974
Mill Island,nyu_2451_34572.77,Brooklyn,Point,-73.908186,40.606336
Morningside Heights,nyu_2451_34572.126,Manhattan,Point,-73.963896,40.808
Morris Heights,nyu_2451_34572.16,Bronx,Point,-73.919672,40.847898
Morris Park,nyu_2451_34572.34,Bronx,Point,-73.850402,40.847549
Morrisania,nyu_2451_34572.26,Bronx,Point,-73.901506,40.823592
Mott Haven,nyu_2451_34572.22,Bronx,Point,-73.9161,40.806239
Mount Eden,nyu_2451_34572.270,Bronx,Point,-73.916556,40.843826
Mount Hope,nyu_2451_34572.271,Bronx,Point,-73.908299,40.848842
Murray Hill,nyu_2451_34572.116,Manhattan,Point,-73.978332,40.748303
Murray Hill,nyu_2451_34572.181,Queens,Point,-73.812763,40.764126
Neponsit,nyu_2451_34572.180,Queens,Point,-73.857547,40.572037
New Brighton,nyu_2451_34572.199,Staten Island,Point,-74.087017,40.640615
New Dorp,nyu_2451_34572.212,Staten Island,Point,-74.116479,40.572572
New Dorp Beach,nyu_2451_34572.235,Staten Island,Point,-74.104327,40.564255
New Lots,nyu_2451_34572.261,Brooklyn,Point,-73.885118,40.662744
New Springville,nyu_2451_34572.210,Staten Island,Point,-74.16496,40.594252
Noho,nyu_2451_34572.249,Manhattan,Point,-73.988434,40.723259
North Corona,nyu_2451_34572.196,Queens,Point,-73.857518,40.754071
North Riverdale,nyu_2451_34572.37,Bronx,Point,-73.904531,40.908543
North Side,nyu_2451_34572.97,Brooklyn,Point,-73.958809,40.714823
Norwood,nyu_2451_34572.9,Bronx,Point,-73.879391,40.877224
Oakland Gardens,nyu_2451_34572.162,Queens,Point,-73.75495,40.745619
Oakwood,nyu_2451_34572.213,Staten Island,Point,-74.121566,40.558462
Ocean Hill,nyu_2451_34572.90,Brooklyn,Point,-73.913068,40.678403
Ocean Parkway,nyu_2451_34572.99,Brooklyn,Point,-73.968367,40.61306
Old Town,nyu_2451_34572.231,Staten Island,Point,-74.087511,40.596329
Olinville,nyu_2451_34572.42,Bronx,Point,-73.863324,40.871371
Ozone Park,nyu_2451_34572.148,Queens,Point,-73.843203,40.680708
Paerdegat Basin,nyu_2451_34572.262,Brooklyn,Point,-73.902335,40.631318
Park Hill,nyu_2451_34572.225,Staten Island,Point,-74.080157,40.60919
Park Slope,nyu_2451_34572.71,Brooklyn,Point,-73.97705,40.672321
Parkchester,nyu_2451_34572.31,Bronx,Point,-73.856003,40.837938
Pelham Bay,nyu_2451_34572.38,Bronx,Point,-73.832074,40.850641
Pelham Gardens,nyu_2451_34572.43,Bronx,Point,-73.841612,40.862966
Pelham Parkway,nyu_2451_34572.12,Bronx,Point,-73.854756,40.857413
Pleasant Plains,nyu_2451_34572.238,Staten Island,Point,-74.219831,40.524699
Pomonok,nyu_2451_34572.266,Queens,Point,-73.804861,40.734936
Port Ivory,nyu_2451_34572.208,Staten Island,Point,-74.174645,40.639683
Port Morris,nyu_2451_34572.23,Bronx,Point,-73.913221,40.801664
Port Richmond,nyu_2451_34572.206,Staten Island,Point,-74.129434,40.633669
Prince's Bay,nyu_2451_34572.292,Staten Island,Point,-74.201526,40.526264
Prospect Heights,nyu_2451_34572.60,Brooklyn,Point,-73.964859,40.676822
Prospect Lefferts Gardens,nyu_2451_34572.89,Brooklyn,Point,-73.954899,40.65842
Prospect Park South,nyu_2451_34572.94,Brooklyn,Point,-73.962613,40.647009
Queens Village,nyu_2451_34572.163,Queens,Point,-73.738715,40.718893
Queensboro Hill,nyu_2451_34572.185,Queens,Point,-73.825809,40.744572
Queensbridge,nyu_2451_34572.305,Queens,Point,-73.945631,40.756091
Randall Manor,nyu_2451_34572.257,Staten Island,Point,-74.098051,40.63563
Ravenswood,nyu_2451_34572.187,Queens,Point,-73.931575,40.761705
Red Hook,nyu_2451_34572.68,Brooklyn,Point,-74.012759,40.676253
Rego Park,nyu_2451_34572.146,Queens,Point,-73.857827,40.728974
Remsen Village,nyu_2451_34572.260,Brooklyn,Point,-73.916653,40.652117
Richmond Hill,nyu_2451_34572.138,Queens,Point,-73.831833,40.697947
Richmond Town,nyu_2451_34572.252,Staten Island,Point,-74.134057,40.569606
Richmond Valley,nyu_2451_34572.294,Staten Island,Point,-74.229571,40.519541
Ridgewood,nyu_2451_34572.144,Queens,Point,-73.901435,40.708323
Riverdale,nyu_2451_34572.5,Bronx,Point,-73.912585,40.890834
Rochdale,nyu_2451_34572.167,Queens,Point,-73.772588,40.675211
Rockaway Beach,nyu_2451_34572.179,Queens,Point,-73.822361,40.582802
Rockaway Park,nyu_2451_34572.192,Queens,Point,-73.841534,40.580343
Roosevelt Island,nyu_2451_34572.111,Manhattan,Point,-73.949168,40.76216
Rosebank,nyu_2451_34572.201,Staten Island,Point,-74.069805,40.615305
Rosedale,nyu_2451_34572.170,Queens,Point,-73.735261,40.659816
Rossville,nyu_2451_34572.241,Staten Island,Point,-74.215729,40.549404
Roxbury,nyu_2451_34572.289,Queens,Point,-73.892138,40.567376
Rugby,nyu_2451_34572.224,Brooklyn,Point,-73.926882,40.655572
Sandy Ground,nyu_2451_34572.287,Staten Island,Point,-74.217766,40.54114
Schuylerville,nyu_2451_34572.39,Bronx,Point,-73.826203,40.82658
Sea Gate,nyu_2451_34572.86,Brooklyn,Point,-74.007873,40.576375
Sheepshead Bay,nyu_2451_34572.53,Brooklyn,Point,-73.943186,40.58689
Shore Acres,nyu_2451_34572.253,Staten Island,Point,-74.066678,40.609719
Silver Lake,nyu_2451_34572.220,Staten Island,Point,-74.09629,40.619193
Soho,nyu_2451_34572.123,Manhattan,Point,-74.000657,40.722184
Somerville,nyu_2451_34572.193,Queens,Point,-73.796648,40.597711
Soundview,nyu_2451_34572.27,Bronx,Point,-73.865746,40.821012
South Beach,nyu_2451_34572.205,Staten Island,Point,-74.079553,40.580247
South Jamaica,nyu_2451_34572.165,Queens,Point,-73.790426,40.696911
South Ozone Park,nyu_2451_34572.149,Queens,Point,-73.809865,40.66855
South Side,nyu_2451_34572.98,Brooklyn,Point,-73.958001,40.710861
Springfield Gardens,nyu_2451_34572.168,Queens,Point,-73.760421,40.66623
Spuyten Duyvil,nyu_2451_34572.36,Bronx,Point,-73.91719,40.881395
St. Albans,nyu_2451_34572.166,Queens,Point,-73.758676,40.694445
St. George,nyu_2451_34572.198,Staten Island,Point,-74.079353,40.644982
Stapleton,nyu_2451_34572.200,Staten Island,Point,-74.077902,40.626928
Starrett City,nyu_2451_34572.74,Brooklyn,Point,-73.87937,40.647589
Steinway,nyu_2451_34572.174,Queens,Point,-73.90229,40.775923
Stuyvesant Town,nyu_2451_34572.276,Manhattan,Point,-73.974052,40.731
Sunnyside,nyu_2451_34572.141,Queens,Point,-73.926916,40.740176
Sunnyside,nyu_2451_34572.221,Staten Island,Point,-74.097126,40.61276
Sunnyside Gardens,nyu_2451_34572.278,Queens,Point,-73.918193,40.745652
Sunset Park,nyu_2451_34572.49,Brooklyn,Point,-74.010316,40.645103
Sutton Place,nyu_2451_34572.272,Manhattan,Point,-73.963556,40.76028
Throgs Neck,nyu_2451_34572.29,Bronx,Point,-73.81635,40.815109
Todt Hill,nyu_2451_34572.204,Staten Island,Point,-74.111329,40.597069
Tompkinsville,nyu_2451_34572.219,Staten Island,Point,-74.080554,40.637316
Tottenville,nyu_2451_34572.218,Staten Island,Point,-74.246569,40.505334
Travis,nyu_2451_34572.211,Staten Island,Point,-74.190737,40.586314
Tribeca,nyu_2451_34572.121,Manhattan,Point,-74.010683,40.721522
Tudor City,nyu_2451_34572.275,Manhattan,Point,-73.971219,40.746917
Turtle Bay,nyu_2451_34572.274,Manhattan,Point,-73.967708,40.752042
Unionport,nyu_2451_34572.45,Bronx,Point,-73.850535,40.829774
University Heights,nyu_2451_34572.15,Bronx,Point,-73.910416,40.855727
Upper East Side,nyu_2451_34572.108,Manhattan,Point,-73.960508,40.775639
Upper West Side,nyu_2451_34572.112,Manhattan,Point,-73.977059,40.787658
Utopia,nyu_2451_34572.265,Queens,Point,-73.796717,40.7335
Van Nest,nyu_2451_34572.33,Bronx,Point,-73.866299,40.843608
Vinegar Hill,nyu_2451_34572.281,Brooklyn,Point,-73.981116,40.703321
Wakefield,nyu_2451_34572.1,Bronx,Point,-73.847201,40.894705
Washington Heights,nyu_2451_34572.102,Manhattan,Point,-73.9369,40.851903
Weeksville,nyu_2451_34572.282,Brooklyn,Point,-73.930531,40.67504
West Brighton,nyu_2451_34572.202,Staten Island,Point,-74.107182,40.631879
West Farms,nyu_2451_34572.19,Bronx,Point,-73.877745,40.839475
West Village,nyu_2451_34572.124,Manhattan,Point,-74.00618,40.734434
Westchester Square,nyu_2451_34572.32,Bronx,Point,-73.842194,40.840619
Westerleigh,nyu_2451_34572.226,Staten Island,Point,-74.133041,40.62109
Whitestone,nyu_2451_34572.151,Queens,Point,-73.814202,40.781291
Williamsbridge,nyu_2451_34572.10,Bronx,Point,-73.857446,40.881039
Williamsburg,nyu_2451_34572.62,Brooklyn,Point,-73.958115,40.707144
Willowbrook,nyu_2451_34572.286,Staten Island,Point,-74.132084,40.603707
Windsor Terrace,nyu_2451_34572.59,Brooklyn,Point,-73.980073,40.656946
Wingate,nyu_2451_34572.223,Brooklyn,Point,-73.937187,40.660947
Woodhaven,nyu_2451_34572.147,Queens,Point,-73.85811,40.689887
Woodlawn,nyu_2451_34572.8,Bronx,Point,-73.867315,40.898273
Woodrow,nyu_2451_34572.217,Staten Island,Point,-74.205246,40.541968
Woodside,nyu_2451_34572.131,Queens,Point,-73.901842,40.746349
Yorkville,nyu_2451_34572.109,Manhattan,Point,-73.947118,40.77593
